,EX_h_e,ASADi,ASPKi,PC,ACSm,ACtm,ADK1m,ALDD2y,CSm,ASPTA,CAT,GLUDy,GLNS,DHORD,ENO,FBA,GAPD,PDHm,PFK,EX_pyr_e,EX_co2_e,EX_glc_D_e,EX_h2o_e,EX_o2_e,PGI,PGK,PGM,PYK,TPI,G3PD1irm,G3PDm,ATPS3m,GHMT2r,GHMT2rm,NADH2_u6cm,GLUSx,GLYCLm,HCO3E,HEX1,HSDxi,HSK,DHORD4,MLTHFtm,NADH2_u6m,MDH,MDHm,CO2t,GLCt1,H2Ot,O2t,PPAm,CITtam,CO2tm,NH4tm,PYRt2m,SERD_L,SERt2m,THFtm,THRA,THRS,ACONTa,ACONTam,MTT,PYRt2,ITACON,ITACONtr,EX_itacon_e
F174_R1,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F174_R2,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F174_R4,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F174_R5,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F362_R1,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F362_R2,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F362_R3,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F362_R4,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
F362_R5,10,20,20,120,20,20,20,20,100,20,125,20,40,250,200,100,200,80,100,10,70,100,280,125,100,200,200,200,100,200,200,40,20,10,60,40,10,120,100,20,20,250,20,190,100,100,70,100,280,125,20,30,90,10,80,10,10,20,20,20,30,70,70,10,100,100,100
