Metabolites,acon_C_e,glc_D_e,mal_L_e
Ylypol_F535_R1_mal_01,25189.75055,1334919.501,6289717.307
Ylypol_F535_R2_mal_02,52241.77716,2561607.668,6387000.493
Ylypol_F535_R3_mal_03,14040.32663,1407014.68,5382039.459
Ylypol_F570_R1_mal_04,91816.13291,1661863.294,18616237.42
Ylypol_F570_R2_mal_05,87072.02994,1127950.264,15133776.68
Ylypol_F570_R3_mal_06,107445.2358,1435859.89,20449495.43
Ylypol_F580_R1_mal_07,71263.68296,1498570.717,14630597.89
Ylypol_F580_R2_mal_08,71225.2372,1505012.094,20366589.79
Ylypol_F580_R3_mal_09,22888.0674,1017359.179,12843644.99
Ylypol_F584_R1_mal_10,88831.41767,1511072.325,28193495.76
Ylypol_F584_R2_mal_11,193961.7544,1297783.035,23734801.71
Ylypol_F584_R3_mal_12,20272.68104,955152.977,25836214.17
Ylypol_glu_F535_R1_13,57958.23374,2348235.61,4355049.134
Ylypol_glu_F535_R2_14,53471.32432,3195033.502,6517440.496
Ylypol_glu_F535_R3_15,24564.88438,3280016.586,5983640.536
Ylypol_glu_F570_R1_16,108369.7164,5039723.718,9341945.873
Ylypol_glu_F570_R2_17,94188.97136,7029122.362,12377320.08
Ylypol_glu_F570_R3_18,90824.49474,4728414.708,11447833.26
Ylypol_glu_F580_R1_19,15095.80103,1764015.579,6322161.228
Ylypol_glu_F580_R2_20,13810.29674,1871666.221,5076765.469
Ylypol_glu_F580_R3_21,61385.04534,2118410.998,6940293.299
Ylypol_glu_F584_R1_22,96949.14012,3851186.743,9886105.752
Ylypol_glu_F584_R2_23,82772.15253,6173303.543,11131610.4
Ylypol_glu_F584_R3_24,0,2369924.335,7129233.544
