Metabolite,Ylypol_F535_R1_mal_01,Ylypol_F535_R2_mal_02,Ylypol_F535_R3_mal_03,Ylypol_F570_R1_mal_04,Ylypol_F570_R2_mal_05,Ylypol_F570_R3_mal_06,Ylypol_F580_R1_mal_07,Ylypol_F580_R2_mal_08,Ylypol_F580_R3_mal_09,Ylypol_F584_R1_mal_10,Ylypol_F584_R2_mal_11,Ylypol_F584_R3_mal_12,Ylypol_glu_F535_R1_13,Ylypol_glu_F535_R2_14,Ylypol_glu_F535_R3_15,Ylypol_glu_F570_R1_16,Ylypol_glu_F570_R2_17,Ylypol_glu_F570_R3_18,Ylypol_glu_F580_R1_19,Ylypol_glu_F580_R2_20,Ylypol_glu_F580_R3_21,Ylypol_glu_F584_R1_22,Ylypol_glu_F584_R2_23,Ylypol_glu_F584_R3_24
phosphoric acid,175154542.9,196640425.4,151557447.3,243310042.4,213700361.3,249632600.5,208464622.8,248306355.4,195392038.9,241154705.3,221893620.6,214533175.7,195398515.7,235216059.2,218353429.8,251199736.6,271560659.7,201196484.2,210283683.4,193895402.3,226470688.3,217870040.1,235225126.3,167865721.4
phosphoric acid monomethyl ester*,795777.1813,580103.3344,219684.2797,1430674.164,961614.7129,1253892.1840000001,1140257.263,1824487.049,1111207.05,1108904.581,977749.873,772315.8159,461196.0868,622825.6965,543162.6931,865735.2088,1101694.4209999999,998580.5502,478031.8989,521172.0414,338911.7615,846404.3098,837676.1334,433993.4486
ribitol,89210.93702,115402.2945,81551.10841,163790.0171,126690.7127,172620.8089,100626.4896,187251.4284,141585.8673,198270.985,131464.1159,216394.7475,45468.27593,151062.5168,259293.6803,172469.0672,300537.1567,233260.8509,80303.97155,54109.137039999994,85907.22527000001,239182.188,229389.74899999998,111510.1503
ribose,562036.944,995471.3477,796120.9578,1078974.353,786900.4720000001,1153233.034,959509.9659999999,879383.9233,757498.9226,857196.5602,744982.34,657533.4443,514209.2768,820350.4475,728014.2249,782678.8108,993634.1286,767344.9954,727347.2667,478109.1105,829089.557,683643.3137,775605.5487,479921.3591
"2-(aminomethyl)-2-(hydroxymethyl)propane-1,3-diol*",133450130.0,11035377.78,126636804.0,10481718.32,125670030.0,146177793.6,47072702.29,204973569.1,133985953.5,200804300.4,214284058.7,206976976.0,149807337.2,182187157.3,136512077.3,155453781.4,3879724.422,206235514.6,109338499.6,107507938.7,100305501.0,132842427.3,162409436.2,110541522.4
succinic acid,1464499.3590000002,556704.1234,1013585.3670000001,5314577.263,3887121.9889999996,5483966.806,3592069.242,5966494.698,3280337.9260000004,7288119.503,5652031.342999999,5876490.159,2354720.494,1966423.769,1765772.0080000001,3352011.1180000002,5001421.403,4289308.018,2094570.457,2219587.817,2615162.531,3710383.478,4006813.2389999996,2130100.047
cis/trans-aconitic acid,25189.75055,52241.777160000005,14040.326630000001,91816.13291,87072.02994,107445.2358,71263.68296,71225.2372,22888.0674,88831.41767000001,193961.7544,20272.68104,57958.233739999996,53471.32432,24564.88438,108369.7164,94188.97136,90824.49474,15095.80103,13810.29674,61385.04534,96949.14012000001,82772.15252999999,0.0
uracil,716935.2588,1130486.894,620196.2518,435928.6158,594299.3741,602579.7073,407478.6922,541525.2448,261695.2658,472013.6748,354252.3561,260646.8914,519128.12100000004,1319732.616,770996.6467,1060186.0690000001,994162.1490000001,613255.2547,716332.4721,630815.1346,877359.7602,643716.0861,1283876.989,285254.4383
uridine*,3847624.5089999996,6492190.175,3958451.436,8101887.78,5396524.776000001,8476064.8,5403449.8610000005,9947255.124,6333228.419,10103598.77,6448243.7639999995,7898620.966,4978347.6389999995,8630127.288999999,8622899.251,8384368.6389999995,10222669.08,8849075.986,6686532.217,5897314.467999999,6996686.195,8001526.467,8659153.907,4942521.8889999995
xylitol,22411975.68,38533661.92,25740218.75,19064286.52,15523479.21,21168931.13,18599554.86,21568000.82,18821474.14,34564796.86,28489224.83,29561033.96,2190750.591,5565950.081,4747717.142,5635671.992000001,7283744.161,5289899.698,2233754.313,2148559.589,2357129.1,12180831.46,8843616.793,4406646.473999999
unknown_001,4413270.821,1308030.499,14912.692980000002,1118381.93,1032552.184,1464083.747,4702467.406,1875642.385,3591989.474,2144565.32,1665798.679,2703911.837,6526869.435,1333992.69,2261369.142,2753727.102,2428729.663,1835339.342,2271474.009,2430083.286,6276038.062000001,2333830.498,4675280.156,569606.2244
unknown_002,230691.8786,487370.9703,1158200.799,1471060.251,313332.1893,1379734.025,667115.7760000001,950987.5928,240631.0129,2058012.743,775764.5535,1528183.966,405937.7488,1226774.711,662437.2131,327291.1372,2093930.799,2026045.2240000002,118568.8117,460744.6312,673963.2475,1174459.764,1196385.215,793868.3103
unknown_003,31748.75066,320321.5077,274724.9718,658840.8582,171544.2342,183561.1963,54387.680720000004,210611.109,101524.3804,1290185.001,314522.6074,864328.3233,325461.5382,762657.4979,518801.6293,396274.1612,1553392.321,971486.9295,230240.8515,173451.9099,472277.7407,709817.5115,821805.6811,427963.0781
unknown_004,168773.6233,283141.4637,226304.7037,127532.9211,292116.8278,72703.17887,72757.46105,82211.15102,159586.4706,446213.4226,276676.8621,179401.1852,41725.505339999996,83376.56234,222572.5849,92343.17117999999,219817.7248,391570.0108,202800.8778,71708.57409,138108.5186,38096.2545,80408.19584,46901.39192
unknown_005,1475120.4109999998,1640229.46,471697.6874,1446112.3169999998,873577.9011,1919445.023,1743705.505,1640822.424,1256145.8020000001,2310540.672,2173613.167,1465313.092,828239.5773,1459833.925,1647882.04,1791421.539,2650270.71,720618.8599,479679.2199,1237415.852,1670895.104,1722259.509,1979883.991,596563.0717
unknown_006,128085.5907,91654.43352,84343.79736,128479.38900000001,75132.67955,0.0,19702.86143,0.0,114723.9681,148372.9591,108037.0181,122896.6189,65193.15612000001,101277.6412,176363.4147,92784.5922,53922.0,151223.6772,88908.68067,137016.5548,3007.663411,1592.853341,80922.32837,107811.6329
unknown_007,757733.4453,1279562.392,8377887.386,955890.2589,999767.2108,1497322.625,1233843.549,1462947.736,1034765.0229999999,1693796.514,1496114.864,1069366.753,1949219.0,1126680.824,1138956.065,1074589.277,9347176.796,11530832.2,352231.6143,2498657.351,1280177.74,1294347.1090000002,1294522.935,7216929.915
unknown_008,65787.95174,175619.4475,37231.15937,123167.0451,87946.74654,128609.9247,117479.0718,126561.3884,105500.6602,123278.8247,100802.5846,111281.95599999999,365612.8695,815230.6816,528450.0564,1532983.325,98921.69569,349123.20399999997,520222.4724,70112.54902,574574.2461,1322619.997,1270969.65,231550.98
unknown_009,883715.9292,1004291.4090000001,445892.5389,1248317.054,970824.3237,1178255.887,931209.5044,1164521.264,779144.3470000001,1422112.727,1064312.354,1127877.727,617591.0382,847465.2551,702581.7791,737655.2341,2698481.7589999996,923345.8419,694271.5956,632598.9591,798164.4703,868498.4905,775827.7417,495111.5446
unknown_010,14508.238119999998,16698.53487,19253.70276,19818.38599,24676.41467,39174.77755,33420.90762,32892.59314,25419.05686,24461.48388,41183.46329,28992.99429,1713751.996,2440509.8959999997,2562577.759,3047515.895,20990283.67,12119.91736,0.0,21013.06409,2234736.762,3828139.8239999996,3738538.269,0.0
unknown_011,184295.3761,10727507.73,389858.0614,32071.671039999997,151655.4802,4337504.238,234772.9009,5400162.591,178489.3165,7590886.248,177079.0315,215640.3234,106318.8147,55562.98892,52582.518110000005,5834835.892000001,10092918.68,6944349.812999999,338002.31200000003,86940.07911,175582.5304,4672671.896000001,81648.62385,78380.2477
unknown_012,189989.8831,327029.8836,280538.3995,415338.2651,442423.1611,734324.2604,150741.9843,644392.4314,199298.7985,766967.6532,1225935.231,29527.194030000002,149252.2379,203295.0769,56147.830129999995,0.0,1930882.928,89766.08477999999,381468.133,173412.8216,142556.3298,189945.4555,260354.6656,346467.869
unknown_013,209930.9789,686394.1812,465658.7226,1560713.956,725604.2013,1287452.091,711276.5361,831047.8757,686424.0719,804474.9059,212374.0076,450476.3057,364092.8024,1102079.235,476265.8713,421879.2846,400759.2764,329449.1036,483259.4067,786549.1228,255293.81699999998,772562.0507,643109.2813,438787.4306
unknown_014,769454.6966,834938.3212,684030.1946,2203539.845,546760.3378,313306.0206,955262.2772,464836.776,1046571.52,442318.8912,657809.0541,710676.4591,1113025.096,637086.1396,256847.4438,292268.8131,1298987.203,1767402.4409999999,1067248.666,1448489.4330000002,315092.8249,322932.7051,1981958.823,1015851.588
unknown_015,487996.626,646866.1731,405962.6906,483901.7857,348967.8576,664534.2955,628776.5829,530480.457,800666.4925,291025.0,189167.6912,302053.0409,829419.3174,581004.1481,768849.1429999999,615654.713,501128.8134,284971.2981,727622.3949,1077163.237,652398.6691,804741.7458,843081.7594,781314.5237
unknown_016,401807.3533,76488.72653,338516.2281,1282265.291,560151.2565,527174.6207,653680.3318,244624.5584,1205882.903,213187.7118,589462.0628,830029.9925,150923.0495,1646244.754,1111759.568,245890.8959,1251076.773,413058.5427,690676.9411,1131007.345,767247.6597,1431101.144,459532.46,91383.58412999999
unknown_017,599333.6157,2250410.339,808116.6302,2359597.805,1059760.669,395797.1206,1820581.539,225973.2688,1667576.395,1145022.88,1917655.341,952083.3505,591071.7505,807981.8131,583279.1218,60780.256579999994,1177574.116,951332.0055,1023891.34,468612.82899999997,583446.9306,1329712.332,479818.5973,767892.7634
unknown_018,200044.2654,28821.75915,556522.9056,17355.426180000002,407345.105,0.0,24720.69319,34858.67624,0.0,519754.5465,35712.53256,350476.5744,0.0,20011.72724,321253.9337,0.0,185861.6142,603581.9599,534637.6712,216887.0522,10508.427459999999,24597.68821,99390.63299,463561.9087
unknown_019,2477634.357,7559931.842999999,3659992.354,9044856.147,4099224.95,7583810.812999999,6634438.62,7000977.265,6472009.913,6131562.23,6034191.113,4444105.3319999995,1194340.716,4362227.058,3817728.0760000004,4884937.284,4315171.512,1913255.341,2267505.943,1870218.415,2862169.87,4707274.4569999995,3785203.315,2271439.3430000003
unknown_020,3609806.165,3486810.7630000003,3116571.9839999997,6003843.73,5285599.482,5684683.576,2810765.4510000004,5993535.182,4853106.788,13279228.61,8500792.036,11596615.19,5136367.914,5015499.452,5631879.683999999,5576817.823,5843676.687999999,12228470.43,4144271.8039999995,4321967.962,4312869.501,4228333.806,5956937.469,3817645.769
unknown_021,3627797.0,157628.5885,772632.0,213780.8651,5190544.213,2785577.9439999997,165451.0,2421339.795,1623846.221,4300641.358,2622164.831,7890293.547,1174757.301,727807.5302,918185.2855,559383.0488,913373.8614,8447768.384,701692.4066,672605.3263,95793.95706,947203.6598,528483.8192,445482.9216
unknown_022,455132.3819,430504.9651,337531.0442,367981.4595,206627.8399,364216.6118,379850.1434,350499.0719,321567.1354,346675.9086,145053.1352,289106.0157,895723.0,1311302.0,1384618.0,1511144.0,4073765.623,1814550.37,967911.0,863065.0,1054448.0,1532740.0,1198447.0,1389419.0
unknown_023,0.0,0.0,0.0,0.0,1018.370365,3758.093982,0.0,0.0,3415.745753,0.0,0.0,0.0,170411.049,295524.9142,309902.0086,286119.419,0.0,381967.8257,152695.109,100420.9021,142194.1782,369972.4034,161051.3628,284738.115
unknown_024,32572928.97,4430475.638,22129751.71,12320042.63,41485197.84,63951891.6,23960897.46,75851122.08,48006306.23,67385252.5,79468285.01,71823790.71,51066601.96,52752019.7,37764514.85,50029533.45,37731057.84,51162552.07,31961935.24,36067440.27,38220898.5,37696798.84,56884580.59,26314452.22
unknown_025,3112711.778,2603819.869,5085164.608,1621436.05,1429254.407,2098997.081,1238232.366,2012493.326,2576022.195,2225488.962,2063042.583,4144979.688,1588369.699,2847325.139,3322315.232,1322322.175,442862.1469,15536590.34,2014904.801,2546738.731,1435960.105,2562107.9930000002,113299.6862,2518928.136
unknown_026,2048390.457,2303011.262,1432616.1919999998,2530681.367,2596047.531,2847966.0,2383614.247,3653859.626,2323990.1859999998,3337362.216,5308420.454,2498837.164,1276771.49,1443266.519,2006648.073,1792021.698,498176.9393,8461422.268,1827329.168,1929718.0590000001,1471247.737,2725047.92,3137412.986,1042852.13
unknown_027,97559.55468,236520.4259,154178.7581,312262.076,191982.3232,395029.4712,284710.0666,373267.8018,306173.5251,464604.4048,322695.0038,175705.0311,145961.3052,241554.65399999998,215118.4202,410726.592,107815.7999,284711.5657,255634.2103,267459.0,192945.6812,280096.2894,401847.9903,265725.3101
unknown_028,179256.4828,1027609.4559999999,470894.9845,614296.0355,213814.0797,970344.4047,456776.1704,1053202.962,1273149.634,79494.40929,228428.9538,318525.3378,294272.7074,1074447.126,1138248.774,511825.0477,282291.4271,274514.5448,312379.7443,1178111.737,321338.0882,1083496.872,533395.8892,526842.4405
unknown_029,257717.5717,100133.5372,74175.37546,81758.57887,40169.74581,0.0,614892.6227,0.0,539480.8565,112754.7384,47140.36275,52756.073730000004,178629.0437,283118.9055,258390.5178,390245.0086,55521.663739999996,58846.064739999994,267495.0878,215179.5063,287426.8519,416862.1941,472418.0726,304371.5481
unknown_030,382240.0734,1282763.185,872543.2169,1154752.071,577128.9957,1941205.326,741728.9399,1647555.958,1376673.823,1203991.9340000001,613389.3625,893294.8564,327906.728,2563934.864,1656633.2030000002,1829856.81,442087.5421,1427064.1509999998,1136990.05,1597002.254,606410.1105,2365709.199,1303755.615,962987.635
unknown_031,975837.9529,1006465.512,724328.415,381895.7223,387566.9633,447147.1585,374062.1592,419630.9079,320386.5621,442350.9265,402729.526,669867.3063,130425.4483,128476.4702,161617.0751,90384.85049,77139.57565,94668.32084,59574.66342999999,51334.96828,66189.89612,72808.35643,94608.86591000001,45363.56085
unknown_032,597951.5428,816606.1066,671964.8642,859741.516,1178918.285,1036456.5040000001,1066667.68,833547.3594,586466.3068,1101955.883,495676.6582,599511.8037,354983.3598,761683.0579,508799.8095,488165.3705,423075.3557,93331.32886000001,373076.4575,616418.0905,733261.4277,560605.9823,500301.4454,378002.9627
unknown_033,766216.9641,555864.9894,431337.7955,698204.8187,858753.9091,899714.6769,1333674.4340000001,1021274.5909999999,1037497.2209999999,446319.6244,828088.3972,618898.0578,948829.7764,758327.6428,824756.5507,749479.5192,741915.1228,66968.67991,907328.9151,892792.7831,1015242.427,114696.9087,893973.5134,867343.8312
unknown_034,43980.0,40524.0,137595.0,420555.0,348392.0,421068.0,324633.0,446470.0,273574.0,617935.0,565285.0,487895.7399,73850.91846,30795.953380000003,37367.23036,227852.0,325549.0,273205.0,68823.39356,61944.154310000005,48818.93598,227649.0,262823.0,64074.8365
unknown_035,2065938.5159999998,3113169.1010000003,2289496.235,0.0,0.0,0.0,0.0,0.0,0.0,176305.7672,18469.7865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_036,854730.3665,1729322.769,2495861.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112195.478,470160.6579,866657.1612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_037,127824.21699999999,1358817.622,1137697.675,1164780.762,238215.9755,1791365.6630000002,1496277.926,1917317.416,1631473.503,1583788.245,573399.1093,874178.6178,212185.9427,825364.0717,594487.4594,438751.3325,21371.950780000003,139791.1337,311387.1548,882333.4611,264558.9928,678201.8322,373293.8728,337649.5674
unknown_038,18924.44995,25972.57841,17049.304969999997,223854.2628,90323.18828,192970.1834,113947.3837,173675.1315,73559.16921000001,205235.7969,366422.3401,165655.4777,79328.41126000001,238262.2925,228294.0697,324595.9698,235111.5778,293643.2498,164488.8786,76806.77945,143083.2526,229477.4186,240518.0814,123055.9425
unknown_039,615124.0049,640820.1402,461949.7529,628036.5207,86061.77921000001,794852.2133,601056.0185,809912.8419,649649.2211,105764.7099,579569.2364,136120.7448,296279.0064,688548.7142,448501.6613,279172.9244,235822.4156,515872.7591,390595.6685,394703.0271,145283.7023,526002.7395,347432.6113,188885.6739
unknown_040,1796859.486,3235254.046,2261184.812,3476843.663,1613172.239,2836784.345,8964298.759,3300580.541,1762676.1519999998,2949838.703,3413132.0,7613887.0,352570.1023,2725033.0,5860951.0,7330045.96,2536386.7369999997,7654039.7639999995,6490153.395,4700310.115,3817257.183,8460128.0,8505334.474,5322421.355
unknown_041,114044.5642,194840.0537,141813.764,227534.8455,339078.6265,1320370.85,296929.8255,606531.5359,209118.6225,304893.2813,122512.2584,156361.28,0.0,87853.64126,122387.5014,470335.576,21391.68298,65835.14486,74904.02779,485596.614,532458.2429,745154.185,1388954.9119999998,46601.45129
unknown_042,26476203.0,30211121.0,22746395.71,2083303.9780000001,1793747.082,1322131.815,1828081.31,1015431.964,1908433.733,1611798.5690000001,3257028.25,2746444.885,8866082.044,9406524.722000001,9687876.107,2332891.745,1055285.768,1351242.122,1633106.64,4977029.018999999,4399014.005,186181.3513,3184364.102,731881.6609
unknown_043,904270.8245,1167803.403,570216.5083,624128.6463,537001.4752,908001.9578,627842.1583,657525.7178,609233.0161,713638.7354,806004.5453,742883.2613,452397.0737,509930.9403,395503.6796,631502.6202,57965.2256,395142.9922,607705.3946,543414.9581,617169.9073,388646.1819,444042.2868,286101.3548
unknown_044,879902.0474,30113.33653,568785.1563,70127.52382999999,747171.7359999999,1850526.5790000001,346172.0784,2255591.91,1998817.023,2024046.989,1224715.057,2390235.94,1343818.43,1549337.832,956408.9847,864873.6332,0.0,1648704.2380000001,1303615.294,1861145.8269999998,731206.1309,858111.5491,1048528.65,1399412.156
unknown_045,196832.3857,89311.01655,75089.59524,108613.9958,102998.7902,128439.7617,266430.1628,128162.8653,74025.77523,116955.7077,90408.89567,91719.70095,103626.1554,118180.3899,89269.75466,60287.73443,223343.3921,75069.44907999999,71371.67292000001,146711.0301,253710.7116,118463.8645,96386.24678,55534.25435
unknown_046,144939.0,273443.4915,124915.0,622065.2679,178044.0,211741.0,93222.0,228372.0,45600.0319,403336.4225,175522.0,141306.0,117074.5297,265327.0615,176933.0,236800.9678,376432.0476,177044.9749,145584.204,123834.0,166850.0,211171.8364,185554.764,157420.2252
unknown_047,0.0,4491407.999,2158158.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_048,810810.8004,2916563.387,336049.0,741044.0,406011.8056,458347.0209,555439.2165,560665.7005,461216.7507,632162.2479,293906.6539,625707.2635,70366.35423,771703.0,333919.0,431829.0,88981.88163999999,575659.5721,38047.2682,289139.0,291601.0,357393.0,395837.0,254838.0
unknown_049,97995.13455,143313.4956,122718.8267,279518.7028,253507.6567,308670.6102,211845.6561,391506.8594,166475.9572,360298.7391,360560.4499,347004.5087,268768.0741,289966.9166,385984.2347,507032.5283,346088.23799999995,408851.9269,335056.8434,275875.534,250807.742,304894.5934,350796.571,178392.7799
unknown_050,296407.2928,53142.93636,244464.5806,116883.9459,883969.1604,751271.1175,433112.3687,775742.6812,123073.8431,1368638.6130000001,2882940.4069999997,1227798.668,1087198.438,785795.6951,500742.7103,1084817.854,55798.32467,1784523.035,806225.68,198743.3233,798461.6195,210746.6013,842608.7479,195820.1765
unknown_051,393185.41799999995,841026.4197,347459.6889,701096.98,270916.7348,385658.1429,571803.9713,303616.6948,417671.8162,343744.2672,265579.0226,254126.4916,214633.9384,788787.3402,210148.1341,375825.7291,427399.4509,211560.0314,330507.4927,142262.4795,296912.5966,170835.4437,192101.1207,194325.6669
unknown_052,342806.6262,159093.9897,589087.1461,497537.2649,929343.7665,5063476.55,790110.3348,4664841.278,2314827.713,4116913.5489999996,3498418.8010000004,3127578.4839999997,2209930.975,3953063.7789999996,2409000.4159999997,2331890.2430000002,306707.9929,2612374.242,2261084.577,3700029.2660000003,1822205.091,1303000.312,1664173.1130000001,1325523.721
unknown_053,267364.7735,848748.4921,3742821.025,727530.8591,1904588.542,2912394.4760000003,719232.8979,3264916.85,368151.6558,505056.305,1035176.0,2120027.193,143105.1628,703493.7373,1528604.6330000001,677006.6473,825324.3727,4393223.93,1767715.875,182067.1772,454620.5182,1963879.094,2875662.631,927885.1704
unknown_054,1077906.923,161372.6437,1370134.03,78003.72703,2328434.313,3422710.9039999996,1195083.9409999999,3421181.624,502263.0856,5998158.825,565485.2179,2412859.168,962597.1379999999,534135.985,1552899.4840000002,146363.4672,250259.7565,2960218.744,2139020.606,701531.4771,316228.5867,2133544.134,3640247.0489999996,947791.0913
unknown_055,164484.4461,86266.0,151318.3969,76520.0,117593.7077,248846.7733,88942.95792999999,373557.3762,367869.6952,230857.9654,308077.1498,247674.5426,371521.1683,340352.4,193477.8993,208804.1677,153462.7674,211782.405,154070.904,272690.5124,176970.3936,224274.9876,230878.3058,210993.045
unknown_056,631650.5271,1977518.0,615770.6487,1220716.0,516623.6392,1056801.824,427611.8437,1478554.49,1513255.447,2345165.7569999998,1328915.345,1024636.912,1406987.136,1495138.3930000002,810051.0496,891031.6248,436141.4402,870029.7235,591275.8621,1267427.563,850479.3785,879053.9932,945513.3886,856453.6083
unknown_057,3539364.608,4403524.683999999,2798594.128,3270541.837,3064628.2460000003,3209258.473,2818686.9260000004,3341066.1989999996,2617119.851,3145367.578,3358450.348,2500573.355,2181248.663,2155005.367,1875460.695,2764875.086,293161.0397,2538999.74,1822176.185,1651677.759,1595236.865,2098104.944,1989954.858,1233032.03
unknown_058,121580.9762,384710.8701,161975.8182,263655.472,79323.8569,335273.8233,122447.7234,278429.5085,224496.5442,390275.2113,124663.101,146069.6993,47018.75889,161903.8432,89579.79477000001,82621.18161,107444.9717,90438.56848,56868.01259,77535.05085,56711.68467,138808.6123,83927.06311,55109.934479999996
unknown_059,104956.9208,254704.0112,867156.8525,307862.017,106097.1245,3987499.473,315982.4082,274554.3711,122524.2207,455147.2797,203971.3691,2808657.126,2422965.53,635253.8021,2327851.559,108616.8751,471881.8226,609434.9111,2354497.7830000003,1993373.425,139334.4769,2754625.869,2556832.815,328528.4279
unknown_060,28312.2639,50761.6076,61398.0,37546.0,11084.341540000001,14097.60719,11102.62531,30912.0305,26639.83414,57290.0,25277.86047,23648.38178,340251.6612,603055.5131,553067.4652,1242195.449,1119333.618,1702811.765,461268.3332,317383.2809,771344.4675,1595157.325,1469702.0969999998,703304.5676
unknown_061,971468.9586,1714650.265,863815.5698,382506.3169,326451.3893,399716.7074,330336.5929,424814.7022,328262.4323,486384.4173,0.0,40708.92831,206738.0912,143207.1574,278469.227,42582.41773,26099.47741,4464.3753799999995,0.0,70797.24454,548402.3055,30523.084619999998,0.0,0.0
unknown_062,4735436.463,5777667.621,2688964.437,4038329.96,1980930.04,4392717.024,2882202.519,3729806.704,3856673.68,3540727.486,4683863.441000001,3233837.187,7417209.741,10031953.27,8383584.21,7540246.973999999,12382059.48,10343089.65,4205375.746,5166520.29,6080333.685,4038999.5310000004,4561420.866,2487673.101
unknown_063,1444470.1719999998,22853.2764,850931.6374,24098.13949,2753543.7810000004,10693704.29,36270.30543,9707431.197999999,12231495.65,8208241.965,1408894.784,10390661.99,1114440.172,3257440.689,3722276.872,31858.97327,42635.266260000004,7775501.049,735428.4792,6827871.753,24582.26414,3529838.518,761022.6485,1256341.352
unknown_064,50246.89211,61505.70202999999,51180.00448,14769.100069999999,56384.94131,113437.4259,41768.88573,107555.4836,43938.36219,84143.15092999999,74611.52437,109112.6799,117399.54800000001,273653.7718,128024.5082,120682.4946,85281.4594,316019.5971,150819.5515,97687.29802999999,103350.5841,34057.60424,86682.87853,44146.34448
unknown_065,387820.3501,688628.6029,372725.9292,327448.80199999997,326060.8709,341045.7466,261817.2449,321245.2344,257746.4411,401371.0203,341832.6115,324686.1754,310450.9156,276066.7143,271896.777,306714.299,112304.2915,253119.1462,307274.7182,317714.2294,270455.6633,576613.8543,429249.8742,137288.9485
unknown_066,921389.9786,2848150.043,1747288.77,1910224.2969999998,1802050.726,2023489.1609999998,1906652.785,1494577.475,1538250.773,1651948.446,2417402.301,1603073.033,1221464.061,1541146.2869999998,1341493.965,1645352.095,600706.7601,1225874.624,1546627.611,1280391.1909999999,1643238.701,1536991.358,1292927.759,1429236.632
unknown_067,591887.2523,621081.6736,591361.1919,1339006.762,1868990.635,2007415.1840000001,1124242.571,1932788.5459999999,668664.5442,2226562.145,331616.3436,553025.0206,887867.7529,3338275.086,2032609.1330000001,2287187.377,2739067.1689999998,3586556.5539999995,2401001.595,1034609.7009999999,526798.0576,2356128.457,2561000.284,834286.6579999999
unknown_068,25670.01985,229383.7965,149950.2791,21422.69905,118472.4832,253214.4861,156018.5008,150106.665,261141.8472,220212.9505,134157.6911,128424.8726,208983.8358,328980.3914,71999.67887,239388.6608,122632.9821,114190.0378,70947.84671,93267.88994,114370.0413,358789.1986,82766.40447000001,30509.87396
unknown_069,480513.705,706416.1579999999,430519.8793,429121.5223,411619.6945,427078.5024,400951.1695,428424.1201,380613.56299999997,435336.5853,635903.9407,372534.16799999995,533390.0587,618073.252,602730.3799,836600.7849,786324.4354,771425.8329,609186.2991,556208.3674,599102.4857,594999.9483,829391.7039,515314.0468
unknown_070,179804.4546,2471157.275,2042189.279,914839.1482,151793.8051,214469.949,876103.2754,1110021.981,421394.8229,187092.0902,1312459.402,234487.3701,773302.1783,633566.0699,122779.3695,808381.3172,260017.7151,176494.1906,759417.1783,838611.8536,828284.8361,459447.1072,628879.2072,500376.1616
unknown_071,358014.2765,790262.5587,106741.2554,76120.77343,323177.6797,101526.0673,96914.59813,681911.1234,116634.5581,81041.78929,289210.2505,178614.1667,130290.1839,412538.1939,312994.6645,272749.7968,686391.3156,582443.5878,249473.41199999998,254839.4286,225070.7376,350799.9974,429346.6828,190458.0263
unknown_072,340639.1457,220844.6226,75545.4319,115535.2152,139144.3651,203659.2283,132406.8831,141675.3614,74904.79537,157457.8358,64362.71042,52845.48037,152355.8502,191657.5338,222495.2055,186091.0219,287836.2989,439483.8069,102263.646,57205.4255,66202.98701,223954.2942,233495.9566,41203.97649
unknown_073,0.0,0.0,6046.952318,276298.9772,111409.0444,130178.8057,193706.2475,287037.9836,212237.7647,710775.2211,616383.4859,729849.2104,38854.633910000004,7938.784179,78262.76999,495453.0992,0.0,474125.7559,411084.1113,96308.55561,253973.9461,268983.54,301466.0408,438555.0943
unknown_074,8889466.264,9530854.805,7254212.511,6204617.442000001,5141178.807,6779001.546,6185196.256,5559772.004,5122544.222,6742432.092999999,6617513.788,4569370.329,4036967.019,6897025.731000001,6443315.427,7514424.362000001,9231839.89,7875648.834,5132006.506,3816536.0360000003,5228459.228,9607996.622000001,10414096.96,5972197.885
unknown_075,198972.8816,200570.8462,157637.6495,135455.8227,101961.6363,137222.3403,139063.3603,120313.6707,110515.3935,150326.1218,142679.2674,92285.89228,50500.006010000005,272937.8265,65562.37644,163123.0247,200037.9683,221081.2655,106874.0458,153473.3678,103770.1923,65084.60716,213252.6902,122315.1334
unknown_076,186754.3128,510719.6029,219496.9092,326217.6084,176540.6316,293137.0478,289324.5776,240135.2965,359784.3953,388628.6316,311764.2725,193943.2149,2798365.063,1401131.802,1448839.833,2065613.052,354762.1569,980939.3637,1874254.166,2793155.6760000004,2024621.98,288596.8605,518928.4429,1355082.896
unknown_077,137976.5566,450203.4475,139789.0314,238574.9413,120756.5405,204445.4563,204679.3177,167541.1079,163193.0771,158910.5717,225331.8648,70374.66397000001,2060752.19,1028956.146,1055542.522,1508364.245,253920.9665,698685.6163,1395263.293,2064794.8159999999,1498027.063,189923.7705,371640.958,1004492.923
unknown_078,197526.9454,15058.2924,733146.1928,464534.0359,480322.3673,843820.0218,1652149.746,753580.3366,721490.4476,660106.9598,1272182.979,1251195.013,272175.418,103526.3242,199416.4662,282603.4962,40512.49232,431542.0,493556.8341,306539.3654,568532.2839,433202.8313,118486.8187,276048.4484
