Metabolite,Ylypol_F535_R1_mal_01,Ylypol_F535_R2_mal_02,Ylypol_F535_R3_mal_03,Ylypol_F570_R1_mal_04,Ylypol_F570_R2_mal_05,Ylypol_F570_R3_mal_06,Ylypol_F580_R1_mal_07,Ylypol_F580_R2_mal_08,Ylypol_F580_R3_mal_09,Ylypol_F584_R1_mal_10,Ylypol_F584_R2_mal_11,Ylypol_F584_R3_mal_12,Ylypol_glu_F535_R1_13,Ylypol_glu_F535_R2_14,Ylypol_glu_F535_R3_15,Ylypol_glu_F570_R1_16,Ylypol_glu_F570_R2_17,Ylypol_glu_F570_R3_18,Ylypol_glu_F580_R1_19,Ylypol_glu_F580_R2_20,Ylypol_glu_F580_R3_21,Ylypol_glu_F584_R1_22,Ylypol_glu_F584_R2_23,Ylypol_glu_F584_R3_24
adenine,2626148.949,3658064.238,3340269.193,1913815.6930000002,1524473.142,2013870.68,1477214.075,2009891.697,1639622.3369999998,2252667.442,1410736.096,1832737.053,1442940.145,960625.2629999999,1420641.6409999998,1959025.985,389230.56200000003,1291815.018,1819338.216,1612850.0359999998,1903172.8169999998,1229153.746,1424195.635,1156491.936
arabitol,2164734.683,2077662.945,1840841.429,2535603.369,1862532.2680000002,2488644.786,1740232.354,2490249.809,1841870.313,2168136.374,1770392.017,1749396.985,1521808.8369999998,7792138.927999999,3039676.606,6409258.546,3913652.42,7285263.028,1940339.108,1845987.5890000002,1715473.382,3419628.405,3300852.258,1674160.0480000002
beta-alanine,10118146.01,13975900.12,7786302.941000001,9477028.297,7559866.755,10142354.09,7978001.203,10330716.13,8498710.749,10529122.89,9218290.252,7872533.007999999,7106350.552,9073059.29,9088745.531,7620555.371,8889744.755,5202085.958000001,9977614.746,9128676.978,8205332.571,6587958.3379999995,8627620.774,6029495.978999999
carbonate ion,4377311.039,9479670.511,5765288.807,7417172.5770000005,5524033.444,3634950.535,4525503.771000001,4637443.211,3191370.622,6549532.262999999,4349365.601,4155762.39,2885930.327,4510505.715,4081160.994,5109597.8,7735857.429,5889559.742000001,6461689.216,3839533.8419999997,3639118.2610000004,4151040.402,3633090.33,5318474.379
citric acid,4972714.438,2755359.97,4005391.1180000002,11741156.85,9728966.915,11951446.58,10831130.82,12089394.25,8366171.35,14746826.06,16653112.6,10225757.7,3708855.249,4264702.073,4546350.991,7393819.981000001,6291524.262,4311037.072,4047521.8880000003,3350242.651,4418550.873,10486382.13,9234167.465,5887541.647000001
D-fructose 6-phosphate,657955.4471,915078.4927,654929.0024,897463.0193,646362.9952,824251.6333,854895.3512,802173.0902,590887.9607,721679.6788,858856.4021,449168.1018,843553.2781,1223743.045,1341534.993,2142583.036,2375278.691,1682493.525,959249.6471,716768.5907,1312184.37,1497173.896,2042113.8080000002,874424.2818
D-glucose,1334919.501,2561607.668,1407014.68,1661863.294,1127950.264,1435859.89,1498570.717,1505012.094,1017359.179,1511072.325,1297783.035,955152.9770000001,2348235.61,3195033.502,3280016.586,5039723.718,7029122.362000001,4728414.708000001,1764015.5790000001,1871666.221,2118410.998,3851186.7430000002,6173303.543,2369924.335
D-glucose 6-phosphate,695688.8398,969464.4853,654889.1127,961205.8546,648015.2941,905842.8457,915113.8036,992424.3689,606411.6546,775165.0343,876709.2919,415152.8056,770856.6501,1126304.358,1325742.145,1899036.208,2397073.16,1618610.427,858636.2275,648767.8834,1194072.305,1538269.122,2185193.969,883334.7161
D-mannitol,115087997.4,122113990.8,112100179.1,134551091.6,120574684.8,139091799.5,142762028.8,135402938.3,128819789.0,147832267.1,141154707.1,128411772.2,17985938.17,50338295.71,40751615.83,64159711.63,88766088.88,68313124.98,21778719.32,19261506.97,21643573.78,106636812.3,82272910.99,43977855.7
D-mannose,0.0,104570.57,0.0,181978.1091,105947.0501,140709.0579,158868.7025,157223.2835,96264.34767,182276.5214,157818.7414,128115.6484,0.0,0.0,148598.5301,230650.3682,364715.3705,0.0,0.0,0.0,107897.4222,261114.8513,305654.6138,143015.3571
D-ribose 5-phosphate,0.0,54705.922829999996,41284.02996,217310.9071,92804.18678999999,224138.8863,211526.6002,231183.9882,157982.6993,234913.1538,218175.897,104134.9753,39338.0,158664.1417,57082.888479999994,167634.2061,375556.5391,205234.3613,109622.67800000001,156197.9865,211055.9964,102104.8828,84299.09787,116947.7458
D-trehalose,2117546.068,2671112.676,1739700.209,1348082.601,1480312.165,1493650.823,1469725.48,1323781.308,1032895.253,1946097.371,2408032.32,1369670.0259999998,1980088.8090000001,2356791.673,1981510.525,2089843.716,2999202.087,2213585.681,1807687.906,1550671.696,2297996.684,2105525.555,2753485.355,1582814.781
fructose,13639271.39,13680782.8,10579062.05,6822568.704,6019055.365,8118823.329,7416745.235,7370165.374,5801107.944,8485797.995,8362115.522000001,5910437.52,5776237.216,9794410.076,9053739.082,9823906.024,13603398.61,10438409.14,6839566.286,5361538.188,7020987.993,13448143.84,14831204.35,8403746.541000001
fumaric acid,9330720.577,8829969.758,6461609.241,29232034.47,23462901.19,30687641.08,20328058.73,28672544.59,18073938.14,49092082.2,38545773.02,43045730.58,7483334.7870000005,9213054.022,8673677.468,13547180.35,20366206.99,19223012.48,9653387.055,8415144.287999999,9279841.76,13429903.26,17391557.53,10705686.84
glyceric acid,201721.4235,218952.6348,96230.46772,436636.81299999997,370616.8022,504723.6375,279822.1444,500275.3511,356701.7439,594208.2543,551232.422,512836.7945,137299.0786,237685.6655,261693.5913,291109.661,331349.7984,356881.4978,162660.9954,187748.5357,205589.4361,300797.8492,283533.7878,137931.9852
glycerol 3-phosphate,22850529.33,40830164.9,22461164.92,20171696.12,19184207.93,20319313.69,14983011.93,19242259.49,15242663.05,24084074.36,19944386.0,19027427.62,18703777.61,20910362.95,19906619.34,24383241.22,38648673.81,38263685.18,18730930.55,18765051.88,16173323.16,23834539.24,27702338.86,15614578.75
glycine,416903.0,393555.0,460141.0,842322.0,1312447.0,889944.0,422261.0,665401.0,125846.0,2112445.0,264195.0,136153.0,910765.0,1129390.0,638703.0,530638.0,860622.0,127377.0,559301.0,2341190.0,814210.0,3185018.0,2353615.0,802066.0
homoserine,799727.1456,1385894.665,890948.0213,1351865.154,846066.1183,703971.5011,1138072.825,958872.191,576720.5467,1122472.887,1001162.558,930902.5969,0.0,65143.96351,53714.06007000001,284157.6801,0.0,14823.674980000002,443046.941,0.0,172678.1338,523717.8766,75964.93167,313891.3538
hypoxanthine,1220637.574,1042388.6529999999,1099840.508,1347517.244,1241664.2179999999,1427108.101,1260746.522,1386642.004,1456590.775,1773900.7580000001,1867902.794,905577.8979999999,352918.5416,709722.3261,626990.7261,768238.9381,0.0,792376.6117,516406.6707,359513.8241,547904.1769,849299.5582,641951.25,470658.5391
inosine,2884410.5,4220511.186000001,2934149.7430000002,4359605.339,3216625.008,4450163.815,3148206.9239999996,5333001.686000001,3117626.876,4557491.39,3444277.47,4205409.186000001,3936031.873,5096695.7469999995,5679106.446,5406602.667,7109016.512999999,4986784.039,4461684.408,3680448.1,5207188.066000001,4264278.615,4762921.031,3102167.144
isomaltose,28042.03037,151395.2211,68354.64168,192018.0012,148120.7093,406421.1701,196686.8329,240332.0338,161424.8191,324019.1445,207500.6233,162224.7134,0.0,0.0,5151.3839,164518.0298,588858.5918,210176.7769,0.0,62474.29537000001,0.0,554678.2828,429034.7356,13597.6846
L-2-aminoadipic acid,1637910.9740000002,2487443.054,1476416.74,4720835.649,3424903.035,4929055.646000001,3674566.5069999998,4807289.411,3895033.587,5101170.426,4399354.669,3936338.5289999996,2027977.408,2956340.433,2396248.0640000002,4256396.553,3718612.047,3899672.8239999996,3258773.4639999997,3247316.122,3675851.361,3666983.459,3574641.6989999996,2318401.55
