,fluxes
THMP,0.0
THMPe,0.0
THMt2,0.0
THRA,4.595958188153293
THRD_L,0.0
ACLSm,0.0
THRS,4.595958188153293
THRTRS,0.0
THRTRSm,0.0
DHAD1m,0.0
THRt2r,0.0
THYMt3r,0.0
THZPSN1_SC,0.0
THZPSN2_SC,0.0
TKT1,0.0
DHAD2m,0.0
TMDK1,0.0
TMDPK,0.0
TMDPP,0.0
TMDPPK,0.0
ILETA,0.0
TMN,0.0
TMPKr,0.0
TMPPP,0.0
IPMD,0.0
TRDR,0.0
TRDRm,0.0
IPPMIa,0.0
IPPMIb,0.0
TREH,0.0
TREHv,0.0
TREt2,0.0
TREt2v,0.0
TRPO2,0.0
IPPSm,0.0
TRPTRS,0.0
TRPTRSm,0.0
TRPt2m,0.0
TRPt2r,0.0
TTDCAt,0.0
TYRTA,0.0
TYRTAi,0.0
TYRTAm,0.0
TYRTAp,0.0
TYRTRS,0.0
TYRTRSm,0.0
TYRt2m,0.0
TYRt2p,0.0
TYRt2r,0.0
UDPACGLP,0.0
UDPG4E,0.0
UGLYCHr,0.0
KARA1im,0.0
UMPKn,0.0
UMPtn,0.0
UPP3MT,0.0
UPP3S,0.0
UPPDC1,0.0
UPPRT,0.0
URAt2,0.0
UREA2t2,0.0
UREASE,0.0
URIDK2r,0.0
URIDK2rn,0.0
URIK1,0.0
URIK2,0.0
URIt2,0.0
KARA2im,0.0
VALTRS,0.0
VALTRSm,0.0
VALt2m,0.0
VALt2r,0.0
XANt,0.0
XPPT,0.0
XTSNt2,0.0
XYLK,0.0
XYLR,0.0
XYLTD_D,0.0
XYLTt,0.0
XYLt,0.0
YUMPS,0.0
ZYMSTt,0.0
ACAT_epist,0.0
ACAT_ergst,0.0
ACAT_fecost,0.0
ACAT_lanost,0.0
ACAT_zymst,0.0
DGL,0.0
DGRK_SC,0.0
LRO1_ps,0.0
MGL,0.0
PHOSPTD,0.0
PLB_lpc,0.0
PLB_lpe,0.0
PLB_lps,0.0
PLB_pc,0.0
PLB_pe,0.0
PLB_ps,0.0
PL_gpc,0.0
PL_gpe,0.0
PL_gps,0.0
SEH_epist,0.0
SEH_ergst,0.0
SEH_fecost,0.0
SEH_lanost,0.0
SEH_zymst,0.0
SEp_form,0.0
TGL,0.0
membrane_rSC4_bal,0.0
glycogen_c_tp,0.0
membrane_WOtag,0.0
rETOHt,0.0
trehalose_c_tp,0.0
LEUTA,0.0
DECDHG,0.0
DECH,0.0
DECFAO,0.0
HDCDHG,0.0
HDCH,0.0
HDCFAO,0.0
DDCDHG,0.0
DDCH,0.0
DDCFAO,0.0
FAO100p,0.0
FAO120p,0.0
FAO60p,0.0
FA60tp,0.0
HCAt,0.0
BUCAt,0.0
FA40tp,0.0
coatp,0.0
O2tp,0.0
exlip,0.0
dca_t,0.0
OMCDC,0.0
TRIGSY_GLC_nlim,0.0
TRIGSY_GLYC,0.0
VALTA,0.0
ACACTDC10p,0.0
ACACTDC12p,0.0
ACACTDC14p,0.0
ACACTDC16p,0.0
ACACTDC6p,0.0
ACACTDC8p,0.0
ACOAODC10p,0.0
ACOAODC12p,0.0
ACOAODC14p,0.0
ACOAODC16p,0.0
ACOAODC6p,0.0
ACOAODC8p,0.0
ALDDHD,0.0
ALDDHDD,0.0
ALDDHHD,0.0
DCAFAO,0.0
DCAH,0.0
DCCOAL10,0.0
DCCOAL12,0.0
DCCOAL16,0.0
DDCAFAO,0.0
DDCAH,0.0
ECOAHDC10p,0.0
ECOAHDC12p,0.0
ECOAHDC14p,0.0
ECOAHDC16p,0.0
ECOAHDC6p,0.0
ECOAHDC8p,0.0
HACDDC10p,0.0
HACDDC12p,0.0
HACDDC14p,0.0
HACDDC16p,0.0
HACDDC6p,0.0
HACDDC8p,0.0
HDCAFAO,0.0
HDCAH,0.0
C10DCte,0.0
C10DCtp,0.0
C12DCte,0.0
C12DCtp,0.0
C16DCte,0.0
C16DCtp,0.0
EX_decane_LPAREN_e_RPAREN_,0.0
EX_dodec_LPAREN_e_RPAREN_,0.0
EX_hedecane_LPAREN_e_RPAREN_,0.0
EX_C10DC_LPAREN_e_RPAREN_,0.0
EX_C12DC_LPAREN_e_RPAREN_,0.0
EX_C16DC_LPAREN_e_RPAREN_,0.0
ASPOcm,0.0
MTHFC,0.0
MTHFD,0.0
MTHFR3,0.0
GLYCDx,0.0
DHFS,0.0
DHNPAm,0.0
L_LACtm,0.0
FACOAL160p,0.0
FTHFI,0.0
METS,0.0
GTPCI,0.0
ACACCT,0.0
MTHFCm,0.0
MTHFD2,0.0
MTHFDm,0.0
QULNS,0.0
SPHPL,0.0
UGLT,0.0
oxogludeh_LPAREN_e_RPAREN_,0.0
FACOAL60p,0.0
FACOAL40p,0.0
FAO40p,0.0
LEUDH,0.0
MBCOAi,0.0
MCCC,0.0
MGCH,0.0
ACONTa,11.148989547038326
ACONTb,0.0
ACONTam,0.0
ACONTbm,0.0
ACONTtam,0.0
ITACON,11.148989547038326
ITACONtr,11.148989547038326
EX_itacon_e,11.148989547038326
