,fluxes
DGDPtn,0.0
DGK1,0.0
DGSNt2,0.0
TRIGSY_GLC,0.0
GCC2am,0.0
DHAK,0.0
DHAPtm,0.0
GCC2bim,0.0
DHFRim,0.0
DHFtm,0.0
DHNPTtm,0.0
DHORD,0.0
HSDyi,0.0
DHORTS,0.0
PGCD,0.0
PSERT,0.0
DHPPDA,0.0
DHPSm,0.0
DHPTtm,0.0
PSP_L,0.0
ENO,20.000000000000007
DIAT,0.0
DICtm,0.0
DINSt2,0.0
DIPS,0.0
DMATT,0.0
DMQMT6m,0.0
DNMPPA,0.0
DNTPPA,0.0
ddca_t_,0.0
DOLK,0.0
FBA,10.000000000000004
G6PI,0.0
GAPD,20.000000000000007
DPCOAK,0.0
DPCOAKm,0.0
DPGM,0.0
GLUK,0.0
DPR,0.0
DPRm,0.0
DRBK,0.0
DTMPK,0.0
DTTPt,0.0
DUMPtn,0.0
DURIK1,0.0
DURIPP,0.0
DURIt2,0.0
DUTPDP,0.0
DXHPScm,0.0
D_LACDm,0.0
D_LACtm,0.0
E4HGLUtm,0.0
E4HGLUtp,0.0
E4Ptm,0.0
ECOAH11p,0.0
ECOAH4p,0.0
ECOAH5p,0.0
ECOAH6p,0.0
ECOAH7p,0.0
ECOAH8p,0.0
EHGLAT,0.0
EHGLATm,0.0
EHGLATp,0.0
HEX7,0.0
EPMGH,0.0
ERGSTt,0.0
PDHm,6.553031358885033
PFK,10.000000000000004
ETHAK,0.0
ETHAPT_SC,0.0
ETOHt,0.0
ETOHtm,0.0
EX_13BDglcn_LPAREN_e_RPAREN_,0.0
EX_4abut_LPAREN_e_RPAREN_,0.0
EX_5aop_LPAREN_e_RPAREN_,0.0
EX_8aonn_LPAREN_e_RPAREN_,0.0
EX_abt_LPAREN_e_RPAREN_,0.0
EX_ac_LPAREN_e_RPAREN_,0.0
EX_ade_LPAREN_e_RPAREN_,0.0
EX_adn_LPAREN_e_RPAREN_,0.0
EX_akg_LPAREN_e_RPAREN_,0.0
EX_ala_L_LPAREN_e_RPAREN_,0.0
EX_alltn_LPAREN_e_RPAREN_,0.0
EX_alltt_LPAREN_e_RPAREN_,0.0
EX_amet_LPAREN_e_RPAREN_,0.0
EX_arab_D_LPAREN_e_RPAREN_,0.0
EX_arab_L_LPAREN_e_RPAREN_,0.0
EX_arg_L_LPAREN_e_RPAREN_,0.0
EX_asn_L_LPAREN_e_RPAREN_,0.0
EX_asp_L_LPAREN_e_RPAREN_,0.0
EX_buca_LPAREN_e_RPAREN_,0.0
EX_btn_LPAREN_e_RPAREN_,0.0
EX_chol_LPAREN_e_RPAREN_,0.0
EX_cit_LPAREN_e_RPAREN_,0.0
EX_co2_LPAREN_e_RPAREN_,4.255052264808386
EX_crn_LPAREN_e_RPAREN_,0.0
EX_csn_LPAREN_e_RPAREN_,0.0
EX_cys_L_LPAREN_e_RPAREN_,0.0
EX_cytd_LPAREN_e_RPAREN_,0.0
EX_dad_2_LPAREN_e_RPAREN_,0.0
EX_dann_LPAREN_e_RPAREN_,0.0
EX_dcyt_LPAREN_e_RPAREN_,0.0
EX_ddca_LPAREN_e_RPAREN_,0.0
EX_dgsn_LPAREN_e_RPAREN_,0.0
EX_din_LPAREN_e_RPAREN_,0.0
EX_dttp_LPAREN_e_RPAREN_,0.0
EX_duri_LPAREN_e_RPAREN_,0.0
EX_ergst_LPAREN_e_RPAREN_,0.0
EX_etoh_LPAREN_e_RPAREN_,0.0
EX_fmn_LPAREN_e_RPAREN_,0.0
EX_for_LPAREN_e_RPAREN_,0.0
EX_fru_LPAREN_e_RPAREN_,0.0
EX_fum_LPAREN_e_RPAREN_,0.0
EX_gal_LPAREN_e_RPAREN_,0.0
EX_gam6p_LPAREN_e_RPAREN_,0.0
EX_gcald_LPAREN_e_RPAREN_,0.0
EX_glc_LPAREN_e_RPAREN_,-10.0
EX_gln_L_LPAREN_e_RPAREN_,0.0
EX_glu_L_LPAREN_e_RPAREN_,0.0
EX_gly_LPAREN_e_RPAREN_,0.0
EX_glyc_LPAREN_e_RPAREN_,0.0
EX_gsn_LPAREN_e_RPAREN_,0.0
EX_gthox_LPAREN_e_RPAREN_,0.0
EX_gua_LPAREN_e_RPAREN_,0.0
EX_h2o_LPAREN_e_RPAREN_,26.553031358884883
EX_h_LPAREN_e_RPAREN_,0.0
EX_hdca_LPAREN_e_RPAREN_,0.0
EX_hca_LPAREN_e_RPAREN_,0.0
EX_hdcea_LPAREN_e_RPAREN_,0.0
EX_his_L_LPAREN_e_RPAREN_,0.0
EX_hxan_LPAREN_e_RPAREN_,0.0
EX_ile_L_LPAREN_e_RPAREN_,0.0
EX_inost_LPAREN_e_RPAREN_,0.0
EX_ins_LPAREN_e_RPAREN_,0.0
EX_k_LPAREN_e_RPAREN_,0.0
EX_lac_L_LPAREN_e_RPAREN_,0.0
EX_leu_L_LPAREN_e_RPAREN_,0.0
EX_lys_L_LPAREN_e_RPAREN_,0.0
EX_mal_L_LPAREN_e_RPAREN_,0.0
EX_malt_LPAREN_e_RPAREN_,0.0
EX_man_LPAREN_e_RPAREN_,0.0
EX_melib_LPAREN_e_RPAREN_,0.0
EX_met_L_LPAREN_e_RPAREN_,0.0
EX_mmet_LPAREN_e_RPAREN_,0.0
EX_na1_LPAREN_e_RPAREN_,0.0
EX_nh4_LPAREN_e_RPAREN_,0.0
EX_nmn_LPAREN_e_RPAREN_,0.0
EX_o2_LPAREN_e_RPAREN_,-9.829547038327478
EX_ocdca_LPAREN_e_RPAREN_,0.0
EX_ocdcea_LPAREN_e_RPAREN_,0.0
EX_ocdcya_LPAREN_e_RPAREN_,0.0
EX_orn_LPAREN_e_RPAREN_,0.0
EX_pap_LPAREN_e_RPAREN_,0.0
EX_phe_L_LPAREN_e_RPAREN_,0.0
EX_pi_LPAREN_e_RPAREN_,0.0
EX_pnto_R_LPAREN_e_RPAREN_,0.0
EX_pro_L_LPAREN_e_RPAREN_,0.0
EX_ptrc_LPAREN_e_RPAREN_,0.0
EX_pyr_LPAREN_e_RPAREN_,0.0
EX_rib_D_LPAREN_e_RPAREN_,0.0
EX_ribflv_LPAREN_e_RPAREN_,0.0
EX_sbt_D_LPAREN_e_RPAREN_,0.0
EX_sbt_L_LPAREN_e_RPAREN_,0.0
EX_ser_L_LPAREN_e_RPAREN_,0.0
